adjustedmillionusd,originalmillionusd,name,artist,year,date_of_sale,rankat_sale,seller,buyer,auction_house,sale_year
111.4,71.7,Green Car Crash (Green Burning Car I),Andy Warhol,1963,"May 16, 2007",,"Private collection, Zürich",Philip Niarchos,"Christie's, New York [ 115 ]",2007
111.3,81.9,No. 10,Mark Rothko,1958,"May 13, 2015",,,,"Christie's, New York [ 116 ] [ 117 ]",2015
110.6,93.1,In This Case,Jean-Michel Basquiat,1983,"May 11, 2021",,Giancarlo Giammetti,Private collector,"Christie's, New York [ 118 ]",2021
110.0,85.8,Suprematist Composition,Kazimir Malevich,1916,"May 15, 2018",,The Nahmad family,Anonymous,"Christie's, New York [ note 22 ]",2018
109.9,80.8,Three Studies for a Portrait of John Edwards,Francis Bacon,1984,"May 13, 2014",,Private Collection,Anonymous,"Christie's, New York. [ 107 ]",2014
109.5,92.2,Portrait of a Young Man holding a Roundel,Sandro Botticelli,1480,"January 21, 2021",,Sheldon Solow estate,Russian private collector,"Sotheby's, New York [ 122 ]",2021
109.3,81.4,Meule,Claude Monet,1891,"November 16, 2016",,,,"Christie's, New York [ 123 ]",2016
108.6,84.7,Nymphéas en fleur,Claude Monet,1914,"May 8, 2018",,David and Peggy Rockefeller,Xin Li-Cohen [ 124 ],"Christie's, New York [ 125 ]",2018
107.0,75.0,Darmstadt Madonna,Hans Holbein,1526,"July 12, 2011",,"Donatus, Landgrave of Hesse",Reinhold Würth,Private sale via Christoph Graf Douglas [ 126 ],2011
106.8,81.3,Laboureur dans un champ,Vincent van Gogh,1889,"November 13, 2017",,Nancy Lee and Perry R. Bass estate,,"Christie's, New York [ 127 ]",2017
